Title,Director,Length,Genre,Year,Copies,Available,ID
The Short Adventure,Frederick Muhlenberg,121,Action,2012,1,1,27001
Adventures of Argo,Jonathan Trumbull Jr,102,Drama,2014,3,3,27002
African Queen,Frederick Muhlenberg,98,Drama,2011,2,2,27003
Alice May,Jonathan Dayton,117,Drama,2014,2,2,27004
Alliance Independence,Theodore Sedgwick,143,Comedy,2014,1,1,27005
Antarctica,Nathaniel Macon,141,Action,2014,3,3,27006
Antigone,Joseph Bradley Varnum,161,Action,2011,1,1,27007
Antilla,Henry Clay,125,Drama,2012,2,2,27008
Antonov,Langdon Cheves,113,Comedy,2010,3,3,27009
Arabella,Henry Clay,159,Romance,2014,4,4,27010
Arcadia,John W. Taylor,119,Romance,2013,1,1,27011
Armed Aurora,Philip Pendleton Barbour,91,Drama,2012,2,2,27012
Avenger,Henry Clay,123,Romance,2014,1,1,27013
HMS Amirante,John W. Taylor,116,Action,2011,1,1,27014
Leaner Aries,Andrew Stevenson,106,Drama,2012,1,1,27015
Roman Astrea,John Bell,137,Drama,2010,2,2,27016
Tender Auxoil,James Knox Polk,128,Drama,2014,1,1,27017
The Art of Artemis,Robert M. T. Hunter,142,Comedy,2013,1,1,27018
Trials of Artemis,John White,113,Action,2014,3,3,27019
USS Abraham Lincoln,John Winston Jones,159,Actialon,2011,1,1,27020
Libyan Baalbek,John Wesley Davis,119,Drama,2012,1,1,27021
Cruiser Bachir,Robert Charles Winthrop,91,Comedy,2010,4,4,27022
Barracuda,Howell Cobb lAL,123,Romance,2013,1,1,27023
Beautiful Beaufort ,Linn Boyd,116,Romance,2014,3,3,27024
USS Belinda,Nathaniel P. Banks,106,Drama,2011,1,1,27025
The Hunt for Bellatrix,James Lawrence Orr,137,Romance,2012,1,1,27026
